X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id
314835,6763635,-0.0441984550449948,-0.0410038398244651,-0.112280096585029,-0.0898716119828816,0.695666340827631,0.782426778242678,0.788898999090082,0.794099939795304,0.477244258872651,0.429599640125956,-0.0680507497116494,-0.0956944256984748,"1"
314865,6763635,-0.0470542333203278,-0.0388836201056767,-0.113490364025696,-0.0909394572025052,0.668147208121827,0.754406580493537,0.76544315129812,0.768936044798114,0.464566929133858,0.423205342237062,-0.0948804282137616,-0.110936447338873,"2"
314895,6763635,-0.0461974774236884,-0.0412907474481397,-0.113643926788686,-0.092761482211815,0.682098765432099,0.75297619047619,0.748017083587553,0.757284469810754,0.470111839568068,0.440948099713935,-0.0885825146536779,-0.104434612614467,"3"
314925,6763635,-0.0418085645967683,-0.0426178619931449,-0.113740208877285,-0.0959346965166087,0.676405906377631,0.746051032806804,0.746120422098076,0.750231267345051,0.452763622108977,0.427870862280343,-0.0961663417803769,-0.108421783553219,"4"
314955,6763635,-0.0422414409263098,-0.0394113883557262,-0.113468338154934,-0.094982795871009,0.666040100250627,0.726417955717319,0.723242558581381,0.730469965764083,0.462674650698603,0.430717863105175,-0.0908062691872677,-0.111638016202332,"5"
314985,6763635,-0.046308966510623,-0.0373861948731194,-0.112137416950251,-0.0965417867435159,0.658444022770398,0.729141475211608,0.733333333333333,0.740993788819876,0.447492163009404,0.412494828299545,-0.0888359428182437,-0.113111870019663,"6"
315015,6763635,-0.0446402773764808,-0.0385942076147088,-0.113155323998697,-0.0953447448408255,0.673624288425047,0.752021563342318,0.74585635359116,0.754619812178128,0.449424831416105,0.406730369754882,-0.0854306983339241,-0.112882096069869,"7"
315045,6763635,-0.0429243575823381,-0.037668985431159,-0.108722409124477,-0.0919082510353616,0.649703403059632,0.758661186142102,0.768242848803269,0.779923909862452,0.434375,0.399431125558716,-0.0848446186093138,-0.102329830973047,"8"
315075,6763635,-0.0356756756756757,-0.0351904229428402,-0.108143752060666,-0.0841444270015699,0.593165699548678,0.741260830594562,0.781998831092928,0.794619612380677,0.462509865824783,0.416666666666667,-0.074108127988231,-0.0765420450524826,"9"
315105,6763635,-0.0394829282000843,-0.0358378484235263,-0.109483042476128,-0.0898649697345957,0.511904761904762,0.711684370257967,0.750900360144058,0.779002320185615,0.462534327187132,0.419822723609992,-0.0876041403685938,-0.0970581919690788,"10"
