X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id
315075,6764145,-0.041726799272134,-0.0396667270422025,-0.113217482885729,-0.0874864989970684,0.712468896875864,0.784981091301999,0.783190578158458,0.792442788717403,0.453369639210347,0.420382165605096,-0.0839318967810588,-0.0906095551894563,"23"
315105,6764145,-0.0361415438861604,-0.0386560693641619,-0.111561257408658,-0.0863969171483622,0.661849710982659,0.737741664331746,0.725259321558733,0.742224712804707,0.459496725267149,0.433773652267048,-0.084813677040203,-0.0887779794313369,"24"
315135,6764145,-0.0378145946629569,-0.0393567498942023,-0.114704776231666,-0.0850190114068441,0.650198750709824,0.72924791086351,0.71523915461624,0.733886583679115,0.458362009635237,0.424491253123884,-0.0805519679151655,-0.0881267302368502,"25"
315165,6764145,-0.0390869093923357,-0.0398632562114645,-0.113482204100297,-0.0851449275362319,0.70945383975603,0.794520547945205,0.780676071333511,0.78775939059627,0.444178900648686,0.406483790523691,-0.0859320859320859,-0.0915083974258358,"26"
315195,6764145,-0.0352506999236447,-0.0394049302268396,-0.112283922288512,-0.0776942355889724,0.714998613806487,0.81150487930149,0.799223803363519,0.808352549321035,0.455104131102765,0.416989777934438,-0.0845535457938559,-0.0864944408109876,"27"
315225,6764145,-0.0372057706909643,-0.0372947567600561,-0.110789172703012,-0.0790071136673225,0.727745823062175,0.808233188442854,0.814957594448728,0.815211842776927,0.440472285995408,0.392663043478261,-0.0790032564066261,-0.0756547041707081,"28"
315255,6764145,-0.037027939821922,-0.0391241923905241,-0.110829544607587,-0.082001968652987,0.742797276060765,0.783783783783784,0.807252856433184,0.799900941059931,0.442121684867395,0.393527508090615,-0.0804643449419569,-0.0890314966438003,"29"
315285,6764145,-0.0348318669398578,-0.0395118772584562,-0.111863408890197,-0.0866531622777403,0.723044397463002,0.779674166020171,0.778799489144317,0.779863048440274,0.449952636564572,0.412614980289093,-0.0768624876928126,-0.0853729603729604,"30"
315315,6764145,-0.0333569907735983,-0.0382923825719815,-0.112602100350058,-0.0866542056074766,0.753551912568306,0.807080554130323,0.803038239916187,0.802099737532808,0.431895961670089,0.402533427163969,-0.0700029351335486,-0.0653404496199256,"31"
315345,6764145,-0.0324660103141116,-0.0380918893577122,-0.111273045252496,-0.0795166343428316,0.792897804283003,0.843726521412472,0.858620689655172,0.854314720812183,0.448397323001057,0.397058823529412,-0.0396343996676361,-0.0270623366927958,"32"
315375,6764145,-0.0357504215851602,-0.0430857142857143,-0.114791385315232,-0.0761229314420804,0.812022414671421,0.846347607052897,0.872558139534884,0.867321867321867,0.46435709526982,0.39055498104102,-0.023919357594396,-0.020408163265306,"33"
315075,6764115,-0.0426671708577551,-0.0381688683265356,-0.111060398600335,-0.0833651132636717,0.741069030351867,0.779728651237031,0.802051282051282,0.792836897706777,0.442955214122262,0.417849898580122,-0.0822166857450677,-0.0958034026465029,"34"
315105,6764115,-0.0419065304859177,-0.0395418927064497,-0.113189050599502,-0.0873405299313052,0.691020635805912,0.731877973691576,0.760475804271425,0.75974025974026,0.454180602006689,0.422053231939163,-0.0841109125802396,-0.089920286076138,"35"
315135,6764115,-0.0406544067900855,-0.0398649056148604,-0.113268608414239,-0.0874341610233258,0.690220463538722,0.738141470180305,0.757891847378534,0.76076817558299,0.456369107321966,0.416033172080166,-0.0879413724183877,-0.0871195081721398,"36"
315165,6764115,-0.0385219631747628,-0.0396555905893767,-0.112522686025408,-0.0841613971695273,0.673621034581309,0.756427604871448,0.74781181619256,0.76260162601626,0.463974939088061,0.426714801444043,-0.0845437106056454,-0.0898277593264849,"37"
315195,6764115,-0.0354404926479829,-0.0404077175100109,-0.116476197684099,-0.0832957450007518,0.715780776645552,0.78494623655914,0.792759706190976,0.799846035411855,0.473825503355705,0.440800828443217,-0.0832318311002842,-0.0973002076763326,"38"
315225,6764115,-0.0380171449869549,-0.0420339389578461,-0.117655830599463,-0.0825729582987708,0.70334672021419,0.773633773633774,0.77482767424049,0.777721774193548,0.461294416243655,0.42124301216705,-0.0966174055829228,-0.100249157262201,"39"
315255,6764115,-0.0358396900351132,-0.0403992395437263,-0.113256208090782,-0.0845290312987882,0.744215611492499,0.80940655011081,0.800194931773879,0.798392987582177,0.445916795069337,0.408045977011494,-0.0819522973939039,-0.0860439956725568,"40"
315285,6764115,-0.0367928415847413,-0.042359438340873,-0.11495006924703,-0.0823754789272031,0.742050368862885,0.798860540004954,0.823836657169991,0.823431162013839,0.436157517899761,0.38833746898263,-0.0828009200102223,-0.0832116788321168,"41"
315315,6764115,-0.0390731485688323,-0.0425104698525616,-0.115964712578258,-0.0838923645134544,0.73568281938326,0.797590361445783,0.801087801087801,0.794495412844037,0.423076923076923,0.388513513513513,-0.0637995883897523,-0.0671106178320385,"42"
315345,6764115,-0.0376439580587865,-0.040351994442193,-0.114234234234234,-0.079548074706018,0.814489571899012,0.866872269339501,0.86762812258563,0.865743207245605,0.461940298507463,0.412662090007628,0.0104499893367456,0.0292711370262391,"43"
315375,6764115,-0.0313130730638371,-0.036903165627004,-0.113176043557169,-0.0797722960151803,0.801502980046644,0.876777251184834,0.875261810565511,0.877333333333333,0.480617495711835,0.415254237288136,-0.016837354625933,-0.0214132762312634,"44"
315075,6764085,-0.0380337041230933,-0.0366275051831375,-0.111216354881995,-0.0825250192455735,0.723608445297505,0.82063452410692,0.81181283559192,0.816133162612036,0.440745672436751,0.3925822253324,-0.074709215627796,-0.0860083740404745,"45"
315105,6764085,-0.0389559543230016,-0.0354372246012537,-0.113953669760549,-0.0823475887170155,0.732459732459733,0.800829875518672,0.810955414012739,0.814285714285714,0.435711936862874,0.38361330133699,-0.0797910924125925,-0.0955746256099613,"46"
315135,6764085,-0.0395307319561337,-0.0398195011890969,-0.115196826365578,-0.0814287876494627,0.716397481522037,0.771087605098996,0.782230424466122,0.778838504375497,0.438374417055296,0.407817364233829,-0.0845089713737844,-0.10088164156979,"47"
315165,6764085,-0.0389139139139139,-0.0386028304727492,-0.113501316284317,-0.0834709503077616,0.672399210600507,0.747936158503027,0.740932642487047,0.754004887320119,0.460338983050847,0.424859550561798,-0.0803297676636915,-0.0872411693057247,"48"
