"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"151";"blaesedalen_83";69,2979725;-53,4659525;2000;2020;20;"2000to2020";"ndvi.max";-0,00337;0,7672;-0,24;0,1617;-0,071;-9,3;"no_trend"
"152";"blaesedalen_84";69,297957;-53,4651935;2000;2020;20;"2000to2020";"ndvi.max";-0,00248;0,8172;-0,181;0,2939;-0,052;-6,4;"no_trend"
"153";"blaesedalen_85";69,2979415;-53,4644345;2000;2020;20;"2000to2020";"ndvi.max";-0,00124;0,7746;-0,123;0,4841;-0,026;-3,4;"no_trend"
"154";"blaesedalen_86";69,297926;-53,4636756;2000;2020;19;"2000to2020";"ndvi.max";-0,00158;0,8;-0,163;0,3633;-0,033;-4,1;"no_trend"
"155";"blaesedalen_87";69,2979104;-53,4629166;2000;2020;20;"2000to2020";"ndvi.max";-0,00004;0,6511;-0,006;1;-0,001;-0,2;"no_trend"
"156";"blaesedalen_88";69,2978949;-53,4621576;2000;2020;20;"2000to2020";"ndvi.max";-0,00063;0,6923;-0,053;0,7796;-0,013;-1,9;"no_trend"
"157";"blaesedalen_89";69,2977815;-53,4697911;2000;2020;19;"2000to2020";"ndvi.max";-0,00189;0,6776;-0,203;0,2558;-0,04;-5,9;"no_trend"
"158";"blaesedalen_9";69,2998522;-53,4656455;2000;2020;20;"2000to2020";"ndvi.max";-0,00194;0,7086;-0,251;0,1417;-0,041;-5,8;"no_trend"
"159";"blaesedalen_90";69,297766;-53,4690321;2000;2020;20;"2000to2020";"ndvi.max";-0,00122;0,6848;-0,076;0,6746;-0,026;-3,8;"no_trend"
"160";"blaesedalen_91";69,2977505;-53,4682732;2000;2020;20;"2000to2020";"ndvi.max";-0,00232;0,7578;-0,298;0,0802;-0,049;-6,5;"browning"
"161";"blaesedalen_92";69,297735;-53,4675142;2000;2020;20;"2000to2020";"ndvi.max";-0,00454;0,5502;-0,38;0,0252;-0,095;-17,3;"browning"
"162";"blaesedalen_93";69,2977195;-53,4667553;2000;2020;20;"2000to2020";"ndvi.max";-0,0021;0,7061;-0,135;0,4415;-0,044;-6,2;"no_trend"
"163";"blaesedalen_94";69,297704;-53,4659963;2000;2020;20;"2000to2020";"ndvi.max";-0,00149;0,8167;-0,158;0,363;-0,031;-3,8;"no_trend"
"164";"blaesedalen_95";69,2976885;-53,4652374;2000;2020;20;"2000to2020";"ndvi.max";-0,00047;0,7097;-0,041;0,8337;-0,01;-1,4;"no_trend"
"165";"blaesedalen_96";69,297673;-53,4644784;2000;2020;20;"2000to2020";"ndvi.max";-0,00288;0,7928;-0,31;0,0689;-0,06;-7,6;"browning"
"166";"blaesedalen_97";69,2976574;-53,4637194;2000;2020;20;"2000to2020";"ndvi.max";-0,00181;0,6779;-0,099;0,5756;-0,038;-5,6;"no_trend"
"167";"blaesedalen_98";69,2976419;-53,4629605;2000;2020;19;"2000to2020";"ndvi.max";-0,00192;0,7888;-0,085;0,6494;-0,04;-5,1;"no_trend"
"168";"blaesedalen_99";69,297513;-53,4698349;2000;2020;20;"2000to2020";"ndvi.max";-0,00231;0,6492;-0,31;0,0689;-0,049;-7,5;"browning"
