"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"95","blaesedalen_51",69.2987626,-53.4650619,2000,2020,18,"2000to2020","ndvi.max",-0.0019,0.7549,-0.324,0.0765,-0.04,-5.3,"browning"
"96","blaesedalen_52",69.2987471,-53.4643029,2000,2020,19,"2000to2020","ndvi.max",-0.00264,0.6478,-0.294,0.0956,-0.055,-8.5,"browning"
"97","blaesedalen_53",69.2987315,-53.4635439,2001,2020,16,"2000to2020","ndvi.max",-0.00573,0.6934,-0.543,0.0056,-0.12,-17.3,"browning"
"98","blaesedalen_54",69.298716,-53.462785,2001,2020,16,"2000to2020","ndvi.max",-0.00594,0.5966,-0.695,4e-04,-0.125,-21,"browning"
"99","blaesedalen_55",69.2987005,-53.462026,2000,2020,17,"2000to2020","ndvi.max",-0.00569,0.6352,-0.633,7e-04,-0.119,-18.7,"browning"
"100","blaesedalen_56",69.2985871,-53.4696597,2000,2020,18,"2000to2020","ndvi.max",-0.00096,0.5937,-0.103,0.5923,-0.02,-3.4,"no_trend"
"101","blaesedalen_57",69.2985716,-53.4689007,2000,2020,18,"2000to2020","ndvi.max",-0.00018,0.6259,-0.029,0.9016,-0.004,-0.6,"no_trend"
"102","blaesedalen_58",69.2985561,-53.4681417,2000,2020,18,"2000to2020","ndvi.max",-0.00198,0.5893,-0.191,0.3031,-0.042,-7.1,"no_trend"
"103","blaesedalen_59",69.2985406,-53.4673827,2000,2020,18,"2000to2020","ndvi.max",-0.00019,0.7739,-0.029,0.9016,-0.004,-0.5,"no_trend"
"104","blaesedalen_62",69.2984941,-53.4651058,2000,2020,18,"2000to2020","ndvi.max",-0.00122,0.8663,-0.206,0.2661,-0.026,-3,"no_trend"
"105","blaesedalen_63",69.2984785,-53.4643468,2000,2020,18,"2000to2020","ndvi.max",-0.00223,0.7399,-0.221,0.2322,-0.047,-6.4,"no_trend"
"106","blaesedalen_64",69.298463,-53.4635878,2000,2020,17,"2000to2020","ndvi.max",-0.00451,0.8452,-0.55,0.0034,-0.095,-11.2,"browning"
"107","blaesedalen_65",69.2984475,-53.4628288,2000,2020,18,"2000to2020","ndvi.max",-0.00403,0.6092,-0.412,0.0235,-0.085,-14,"browning"
"108","blaesedalen_66",69.298432,-53.4620699,2000,2020,19,"2000to2020","ndvi.max",-0.00362,0.644,-0.359,0.0408,-0.076,-11.8,"browning"
"109","blaesedalen_67",69.2983186,-53.4697035,2000,2020,20,"2000to2020","ndvi.max",-0.00223,0.7393,-0.193,0.2629,-0.047,-6.4,"no_trend"
"110","blaesedalen_68",69.2983031,-53.4689445,2000,2020,20,"2000to2020","ndvi.max",-0.00073,0.7347,-0.099,0.5756,-0.015,-2,"no_trend"
"111","blaesedalen_69",69.2982876,-53.4681855,2000,2020,18,"2000to2020","ndvi.max",-0.00204,0.5373,-0.162,0.387,-0.043,-8,"no_trend"
"112","blaesedalen_7",69.2998832,-53.4671636,2000,2020,18,"2000to2020","ndvi.max",-0.00196,0.6958,-0.235,0.2016,-0.041,-5.9,"no_trend"
"113","blaesedalen_70",69.2982721,-53.4674266,2000,2020,19,"2000to2020","ndvi.max",-0.00211,0.7578,-0.15,0.4047,-0.044,-5.8,"no_trend"
"114","blaesedalen_71",69.2982566,-53.4666676,2000,2020,18,"2000to2020","ndvi.max",-0.00364,0.6766,-0.324,0.0765,-0.076,-11.2,"browning"
"115","blaesedalen_72",69.298241,-53.4659086,2000,2020,19,"2000to2020","ndvi.max",-0.00273,0.7734,-0.242,0.1727,-0.057,-7.4,"no_trend"
"116","blaesedalen_73",69.2982255,-53.4651496,2000,2020,19,"2000to2020","ndvi.max",-0.00147,0.7431,-0.137,0.4487,-0.031,-4.2,"no_trend"
"117","blaesedalen_74",69.29821,-53.4643907,2000,2020,18,"2000to2020","ndvi.max",-0.00112,0.6796,-0.118,0.5366,-0.024,-3.5,"no_trend"
"118","blaesedalen_76",69.298179,-53.4628727,2000,2020,17,"2000to2020","ndvi.max",-0.00484,0.8242,-0.633,7e-04,-0.102,-12.4,"browning"
"119","blaesedalen_77",69.2981634,-53.4621138,2000,2020,18,"2000to2020","ndvi.max",-0.00244,0.7125,-0.309,0.0912,-0.051,-7.2,"browning"
"120","blaesedalen_78",69.29805,-53.4697473,2000,2020,19,"2000to2020","ndvi.max",-0.00201,0.5935,-0.268,0.1297,-0.042,-7.1,"no_trend"
"121","blaesedalen_79",69.2980345,-53.4689883,2000,2020,20,"2000to2020","ndvi.max",-0.00106,0.7705,-0.17,0.3273,-0.022,-2.9,"no_trend"
"122","blaesedalen_8",69.2998677,-53.4664045,2000,2020,18,"2000to2020","ndvi.max",-0.00362,0.7361,-0.368,0.0435,-0.076,-10.3,"browning"
"123","blaesedalen_80",69.298019,-53.4682294,2000,2020,19,"2000to2020","ndvi.max",-0.00131,0.4969,-0.124,0.4954,-0.028,-5.6,"no_trend"
