X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4679226,69.2998987,blaesedalen_6,2000,2020,"20",2000to2020,ndvi.max,0.00026,0.637,0.053,0.7796,0.005,0.8,no_trend
-53.4666238,69.2985251,blaesedalen_60,2000,2020,"18",2000to2020,ndvi.max,-0.00094,0.5944,-0.118,0.5366,-0.02,-3.4,no_trend
-53.4658648,69.2985096,blaesedalen_61,2000,2020,"19",2000to2020,ndvi.max,-0.00078,0.7401,-0.085,0.6494,-0.016,-2.2,no_trend
-53.4651058,69.2984941,blaesedalen_62,2000,2020,"20",2000to2020,ndvi.max,-0.00026,0.7652,-0.041,0.8337,-0.005,-0.7,no_trend
-53.4643468,69.2984785,blaesedalen_63,2000,2020,"21",2000to2020,ndvi.max,0.00018,0.529,0.042,0.8203,0.004,0.8,no_trend
-53.4635878,69.298463,blaesedalen_64,2000,2020,"21",2000to2020,ndvi.max,0.00086,0.6386,0.105,0.5376,0.018,2.8,no_trend
-53.4628288,69.2984475,blaesedalen_65,2000,2020,"20",2000to2020,ndvi.max,-0.0026,0.6032,-0.228,0.1837,-0.055,-9.1,no_trend
-53.4620699,69.298432,blaesedalen_66,2000,2020,"19",2000to2020,ndvi.max,-0.00228,0.5608,-0.203,0.2558,-0.048,-8.6,no_trend
-53.4697035,69.2983186,blaesedalen_67,2000,2020,"20",2000to2020,ndvi.max,-0.00103,0.6763,-0.099,0.5756,-0.022,-3.3,no_trend
-53.4689445,69.2983031,blaesedalen_68,2000,2020,"20",2000to2020,ndvi.max,0.00043,0.6489,0.041,0.8337,0.009,1.4,no_trend
-53.4681855,69.2982876,blaesedalen_69,2000,2020,"20",2000to2020,ndvi.max,-0.00071,0.5498,-0.088,0.6243,-0.015,-2.7,no_trend
-53.4671636,69.2998832,blaesedalen_7,2000,2020,"21",2000to2020,ndvi.max,0.00144,0.5487,0.074,0.6732,0.03,5.5,no_trend
-53.4674266,69.2982721,blaesedalen_70,2000,2020,"20",2000to2020,ndvi.max,3e-05,0.6471,0.006,1,0.001,0.2,no_trend
