X,Y,id,ndvi.max,ndvi.max.doy
639175,7691815,"1",0.18074768429616,205
639185,7691815,"2",0.25760546410056,222
639195,7691815,"3",0.311119212510176,240
639205,7691815,"4",0.385489096277452,228
639215,7691815,"5",0.420798785000186,242
639225,7691815,"6",0.435373053588051,226
639235,7691815,"7",0.499153548090155,230
639245,7691815,"8",0.447333634451563,234
639255,7691815,"9",0.470098159664682,215
639265,7691815,"10",0.494849484680303,238
639275,7691815,"11",0.477042012869271,205
639285,7691815,"12",0.488575261623345,231
639295,7691815,"13",0.480914881052027,227
639305,7691815,"14",0.456593224942403,222
639315,7691815,"15",0.435456631468655,220
639325,7691815,"16",0.418195381101752,199
639335,7691815,"17",0.457849155008454,232
639345,7691815,"18",0.408666037253591,220
639355,7691815,"19",0.408499666433393,223
639365,7691815,"20",0.402284884943123,222
639375,7691815,"21",0.390940198609006,242
639385,7691815,"22",0.346750127391741,205
639395,7691815,"23",0.369513679154719,212
639405,7691815,"24",0.338263792571805,265
639415,7691815,"25",0.343365306437803,216
639425,7691815,"26",0.354857863334192,208
639435,7691815,"27",0.379333488640301,223
639445,7691815,"28",0.425575151528827,207
639455,7691815,"29",0.404501938305309,206
639465,7691815,"30",0.433535513934188,209
639475,7691815,"31",0.477914871313598,229
639485,7691815,"32",0.529132210896997,225
639495,7691815,"33",0.517075019200308,232
639505,7691815,"34",0.504578105719686,196
639515,7691815,"35",0.49592009127552,222
639175,7691805,"36",0.199801194892975,237
639185,7691805,"37",0.226350227049005,233
639195,7691805,"38",0.220878624380005,207
639205,7691805,"39",0.265769575558459,238
639215,7691805,"40",0.28488485614873,237
639225,7691805,"41",0.308924507581014,223
639235,7691805,"42",0.358941119095414,200
639245,7691805,"43",0.430468117625436,241
639255,7691805,"44",0.513889341336528,237
639265,7691805,"45",0.386386671898242,206
639275,7691805,"46",0.493625682476548,226
639285,7691805,"47",0.483152782537553,239
639295,7691805,"48",0.439387682572519,240
639305,7691805,"49",0.423838951354707,239
639315,7691805,"50",0.412137441196192,228
639325,7691805,"51",0.33839064022275,215
639335,7691805,"52",0.37596439611739,246
639345,7691805,"53",0.337522837483706,229
639355,7691805,"54",0.371530346775353,242
639365,7691805,"55",0.366133283184783,225
639375,7691805,"56",0.352711624952495,242
639385,7691805,"57",0.360673458657648,239
639395,7691805,"58",0.396084393448209,230
639405,7691805,"59",0.330745558358444,224
639415,7691805,"60",0.298215812079796,224
639425,7691805,"61",0.358733789521552,236
639435,7691805,"62",0.401744619422937,218
639445,7691805,"63",0.39754080024116,202
639455,7691805,"64",0.431445198676779,204
639465,7691805,"65",0.439584970899321,207
639475,7691805,"66",0.485350550361905,218
639485,7691805,"67",0.513149003207703,223
639495,7691805,"68",0.530453151947516,223
639505,7691805,"69",0.53008811129149,233
639515,7691805,"70",0.499514574443091,224
639175,7691795,"71",0.30384438964808,269
639185,7691795,"72",0.296745603704991,213
639195,7691795,"73",0.287011640434846,238
639205,7691795,"74",0.309861328057779,243
639215,7691795,"75",0.238812952219369,203
639225,7691795,"76",0.239842718489151,238
639235,7691795,"77",0.291808351277427,232
639245,7691795,"78",0.312578589625727,210
639255,7691795,"79",0.297435037706062,212
639265,7691795,"80",0.321463766117748,235
639275,7691795,"81",0.417837260978849,229
639285,7691795,"82",0.416267580438771,234
639295,7691795,"83",0.396000693846996,226
639305,7691795,"84",0.300643451060202,63
639315,7691795,"85",0.340157213715293,250
639325,7691795,"86",0.278649153674277,229
639335,7691795,"87",0.265044000877766,227
639345,7691795,"88",0.277327605025195,231
639355,7691795,"89",0.328513725428068,246
639365,7691795,"90",0.332456098811765,250
639375,7691795,"91",0.351583165673436,242
639385,7691795,"92",0.256033683389566,225
639395,7691795,"93",0.245371344867163,235
639405,7691795,"94",0.28349095013477,238
639415,7691795,"95",0.321301762989348,238
639425,7691795,"96",0.37158746952447,244
639435,7691795,"97",0.392195445248385,238
639445,7691795,"98",0.392140026739462,217
639455,7691795,"99",0.43475001326093,208
639465,7691795,"100",0.397714746200839,210
639475,7691795,"101",0.460834974654409,230
639485,7691795,"102",0.475302118423572,207
639495,7691795,"103",0.494486601902417,217
639505,7691795,"104",0.494420702547066,212
639515,7691795,"105",0.511249136191835,225
639175,7691785,"106",0.385842374824566,218
639185,7691785,"107",0.360369648068124,213
639195,7691785,"108",0.346354615316576,217
639205,7691785,"109",0.36078546806635,215
639215,7691785,"110",0.365033967653206,241
639225,7691785,"111",0.299523125288103,227
639235,7691785,"112",0.288697449367202,230
639245,7691785,"113",0.247279280042261,228
639255,7691785,"114",0.268962495606456,228
639265,7691785,"115",0.252415732861615,236
639275,7691785,"116",0.253200585203287,228
639285,7691785,"117",0.308192666953329,225
639295,7691785,"118",0.315969380850081,237
639305,7691785,"119",0.333358632472327,238
639315,7691785,"120",0.313147846059289,245
639325,7691785,"121",0.245193584137834,256
639335,7691785,"122",0.2303246509142,247
639345,7691785,"123",0.284742861833732,249
639355,7691785,"124",0.252292763827305,211
639365,7691785,"125",0.302442425206243,248
639375,7691785,"126",0.250578541529999,235
639385,7691785,"127",0.179861340438896,198
639395,7691785,"128",0.149920314234093,202
639405,7691785,"129",0.167192244754369,218
639415,7691785,"130",0.245835856271457,235
639425,7691785,"131",0.335310654702046,235
639435,7691785,"132",0.358969119046633,219
639445,7691785,"133",0.389660522221128,217
639455,7691785,"134",0.429666051851269,218
639465,7691785,"135",0.4436651303571,219
639475,7691785,"136",0.447016691417794,233
639485,7691785,"137",0.420747619420433,228
639495,7691785,"138",0.457746804194769,212
639505,7691785,"139",0.490141750207397,226
639515,7691785,"140",0.480964326884839,211
639175,7691775,"141",0.456599944484049,213
639185,7691775,"142",0.428395752721762,215
639195,7691775,"143",0.420588606537309,211
639205,7691775,"144",0.424902070548648,207
639215,7691775,"145",0.409596073415361,238
639225,7691775,"146",0.327765090256182,240
639235,7691775,"147",0.280608365978575,229
639245,7691775,"148",0.31568387940468,236
639255,7691775,"149",0.289710239562793,233
639265,7691775,"150",0.277019215241814,232
639275,7691775,"151",0.286743224233776,233
639285,7691775,"152",0.301836591798967,234
639295,7691775,"153",0.262484392322755,241
639305,7691775,"154",0.224911355929133,205
639315,7691775,"155",0.205557802372059,253
639325,7691775,"156",0.234353604962523,237
639335,7691775,"157",0.259112458930498,248
639345,7691775,"158",0.264901932815708,257
639355,7691775,"159",0.247350796759294,220
639365,7691775,"160",0.268980960360568,198
639375,7691775,"161",0.225024661347414,212
639385,7691775,"162",0.208017952589849,225
639395,7691775,"163",0.275014420528283,242
639405,7691775,"164",0.237062253294986,228
639415,7691775,"165",0.245099577994053,201
639425,7691775,"166",0.356392389493755,233
639435,7691775,"167",0.375618996992914,219
639445,7691775,"168",0.421703678810034,222
639455,7691775,"169",0.444887919478049,230
639465,7691775,"170",0.466924297260821,225
639475,7691775,"171",0.441781704297794,221
639485,7691775,"172",0.428597215273135,220
639495,7691775,"173",0.452708069131682,210
639505,7691775,"174",0.439526115489772,225
639515,7691775,"175",0.466441061789078,224
639175,7691765,"176",0.461389262243612,215
639185,7691765,"177",0.438589348578021,239
639195,7691765,"178",0.456540025241358,213
639205,7691765,"179",0.455546143926092,233
639215,7691765,"180",0.424963451966611,235
639225,7691765,"181",0.337317234018302,210
639235,7691765,"182",0.392820110375855,238
639245,7691765,"183",0.31481545537868,186
639255,7691765,"184",0.313681481122219,211
639265,7691765,"185",0.311511131280274,236
639275,7691765,"186",0.337336080092395,231
639285,7691765,"187",0.345960509692055,236
639295,7691765,"188",0.331557621519491,239
639305,7691765,"189",0.263497286778662,236
639315,7691765,"190",0.249995671118781,206
639325,7691765,"191",0.26664349444198,206
639335,7691765,"192",0.321931924690846,260
639345,7691765,"193",0.274489506087969,1
639355,7691765,"194",0.328311116654832,261
639365,7691765,"195",0.380708621051574,233
639375,7691765,"196",0.265892086680892,186
639385,7691765,"197",0.350011559926281,228
639395,7691765,"198",0.388968292998583,229
639405,7691765,"199",0.42816193414824,247
639415,7691765,"200",0.424346504420625,232
639425,7691765,"201",0.459550056854735,228
639435,7691765,"202",0.463832163674436,230
639445,7691765,"203",0.477839663486481,230
639455,7691765,"204",0.482321621492461,228
639465,7691765,"205",0.481796992242289,224
639475,7691765,"206",0.475345286863592,225
639485,7691765,"207",0.425673603649595,222
639495,7691765,"208",0.431101059633544,223
639505,7691765,"209",0.434331100246485,188
639515,7691765,"210",0.462547963078569,216
639175,7691755,"211",0.45177989827108,213
639185,7691755,"212",0.44193723317457,200
639195,7691755,"213",0.444014604926336,217
639205,7691755,"214",0.449867289355689,237
639215,7691755,"215",0.385273378699389,218
639225,7691755,"216",0.356574622066948,221
639235,7691755,"217",0.367699792809834,215
639245,7691755,"218",0.366845636592633,212
639255,7691755,"219",0.357704189713048,213
639265,7691755,"220",0.348197907259736,214
639275,7691755,"221",0.345678837373261,211
639285,7691755,"222",0.335700043646538,216
639295,7691755,"223",0.360191531939934,237
639305,7691755,"224",0.313831595068995,232
639315,7691755,"225",0.282657889573065,230
639325,7691755,"226",0.307647382846747,224
639335,7691755,"227",0.373807467702899,229
639345,7691755,"228",0.353793035376001,215
639355,7691755,"229",0.404139293962987,227
639365,7691755,"230",0.431844639974482,229
639375,7691755,"231",0.419323599875438,223
639385,7691755,"232",0.433254347504766,227
639395,7691755,"233",0.449451951173174,238
639405,7691755,"234",0.4800626438684,239
639415,7691755,"235",0.530838790244447,243
639425,7691755,"236",0.531678691887925,241
639435,7691755,"237",0.467161698334952,240
639445,7691755,"238",0.454249961877972,229
