"";"id";"geometry";"ndvi.max";"ndvi.max.doy";"ndvi.pred.doy";"ndvi.max.date"
"709";709;c(639255, 7691615);0,382926749138507;230;177;1970-08-18
"710";710;c(639265, 7691615);0,389382359014257;227;177;1970-08-15
"711";711;c(639275, 7691615);0,412424302983623;227;177;1970-08-15
"712";712;c(639285, 7691615);0,452266810546868;230;177;1970-08-18
"713";713;c(639295, 7691615);0,453715661406086;229;177;1970-08-17
"714";714;c(639305, 7691615);0,479170574436498;226;177;1970-08-14
"715";715;c(639315, 7691615);0,47947680664884;225;177;1970-08-13
"716";716;c(639325, 7691615);0,448174676597702;225;177;1970-08-13
"717";717;c(639335, 7691615);0,431688427545134;225;177;1970-08-13
"718";718;c(639345, 7691615);0,442630618583062;227;177;1970-08-15
"719";719;c(639355, 7691615);0,44472439797414;227;177;1970-08-15
"720";720;c(639365, 7691615);0,455908085436803;227;177;1970-08-15
"721";721;c(639375, 7691615);0,460191576399932;226;177;1970-08-14
"722";722;c(639385, 7691615);0,438463054659735;227;177;1970-08-15
"723";723;c(639395, 7691615);0,414295143060943;224;177;1970-08-12
"724";724;c(639405, 7691615);0,404162202024327;226;177;1970-08-14
"725";725;c(639415, 7691615);0,4208582344837;227;177;1970-08-15
"726";726;c(639425, 7691615);0,450233817076448;227;177;1970-08-15
"727";727;c(639435, 7691615);0,47117813293334;228;177;1970-08-16
"728";728;c(639445, 7691615);0,469379673152472;231;177;1970-08-19
"729";729;c(639455, 7691615);0,462912231138788;232;177;1970-08-20
"730";730;c(639465, 7691615);0,478159739188764;230;177;1970-08-18
"731";731;c(639475, 7691615);0,520533044086954;227;177;1970-08-15
"732";732;c(639485, 7691615);0,509926486301047;225;177;1970-08-13
"733";733;c(639495, 7691615);0,508348454750916;224;177;1970-08-12
"734";734;c(639505, 7691615);0,501129584912368;223;177;1970-08-11
"735";735;c(639515, 7691615);0,501796930743001;221;177;1970-08-09
"736";736;c(639175, 7691605);0,345362669846709;231;177;1970-08-19
"737";737;c(639185, 7691605);0,341366918436651;233;177;1970-08-21
"738";738;c(639195, 7691605);0,351362801929699;232;177;1970-08-20
"739";739;c(639205, 7691605);0,378303710133277;231;177;1970-08-19
"740";740;c(639215, 7691605);0,387992286589868;231;177;1970-08-19
"741";741;c(639225, 7691605);0,364827563125521;231;177;1970-08-19
"742";742;c(639235, 7691605);0,342216384853564;231;177;1970-08-19
"743";743;c(639245, 7691605);0,328534774312071;229;177;1970-08-17
"744";744;c(639255, 7691605);0,329936681797102;227;177;1970-08-15
"745";745;c(639265, 7691605);0,364665256664107;226;177;1970-08-14
"746";746;c(639275, 7691605);0,413894372417389;229;177;1970-08-17
"747";747;c(639285, 7691605);0,43027781274451;231;177;1970-08-19
"748";748;c(639295, 7691605);0,39628358283746;227;177;1970-08-15
"749";749;c(639305, 7691605);0,426725785972036;224;177;1970-08-12
"750";750;c(639315, 7691605);0,480886753384787;225;177;1970-08-13
"751";751;c(639325, 7691605);0,487088477254046;226;177;1970-08-14
"752";752;c(639335, 7691605);0,452702752412128;227;177;1970-08-15
"753";753;c(639345, 7691605);0,441144249360674;226;177;1970-08-14
"754";754;c(639355, 7691605);0,449749328066871;225;177;1970-08-13
"755";755;c(639365, 7691605);0,464145357953267;227;177;1970-08-15
"756";756;c(639375, 7691605);0,472674290326535;226;177;1970-08-14
"757";757;c(639385, 7691605);0,454384097360698;225;177;1970-08-13
"758";758;c(639395, 7691605);0,426441385134026;225;177;1970-08-13
"759";759;c(639405, 7691605);0,403711488107893;224;177;1970-08-12
"760";760;c(639415, 7691605);0,395605988147576;224;177;1970-08-12
"761";761;c(639425, 7691605);0,425302883077431;226;177;1970-08-14
"762";762;c(639435, 7691605);0,468627365287925;225;177;1970-08-13
"763";763;c(639445, 7691605);0,474083246084718;229;177;1970-08-17
"764";764;c(639455, 7691605);0,455491305990421;232;177;1970-08-20
"765";765;c(639465, 7691605);0,489425235703812;228;177;1970-08-16
"766";766;c(639475, 7691605);0,519661067225749;227;177;1970-08-15
"767";767;c(639485, 7691605);0,505062317201949;227;177;1970-08-15
"768";768;c(639495, 7691605);0,496386434519465;225;177;1970-08-13
"769";769;c(639505, 7691605);0,488965006404993;224;177;1970-08-12
"770";770;c(639515, 7691605);0,495259228949904;223;177;1970-08-11
"771";771;c(639175, 7691595);0,36384068280525;233;177;1970-08-21
"772";772;c(639185, 7691595);0,353449660676813;233;177;1970-08-21
"773";773;c(639195, 7691595);0,356395661046818;234;177;1970-08-22
"774";774;c(639205, 7691595);0,35069681962794;231;177;1970-08-19
"775";775;c(639215, 7691595);0,370577057273703;228;177;1970-08-16
"776";776;c(639225, 7691595);0,392765103679292;230;177;1970-08-18
"777";777;c(639235, 7691595);0,399977078965517;228;177;1970-08-16
"778";778;c(639245, 7691595);0,398578015436865;229;177;1970-08-17
"779";779;c(639255, 7691595);0,382611989760877;230;177;1970-08-18
"780";780;c(639265, 7691595);0,369898973745413;230;177;1970-08-18
"781";781;c(639275, 7691595);0,381840154212985;230;177;1970-08-18
"782";782;c(639285, 7691595);0,393401372203426;229;177;1970-08-17
"783";783;c(639295, 7691595);0,390786005243854;228;177;1970-08-16
"784";784;c(639305, 7691595);0,397467423094036;224;177;1970-08-12
"785";785;c(639315, 7691595);0,460422684304199;225;177;1970-08-13
"786";786;c(639325, 7691595);0,492809875033315;226;177;1970-08-14
"787";787;c(639335, 7691595);0,478629103596371;227;177;1970-08-15
"788";788;c(639345, 7691595);0,47248752091667;226;177;1970-08-14
"789";789;c(639355, 7691595);0,461259186524166;226;177;1970-08-14
"790";790;c(639365, 7691595);0,437375721898047;226;177;1970-08-14
"791";791;c(639375, 7691595);0,443498255552782;225;177;1970-08-13
"792";792;c(639385, 7691595);0,454221392997007;224;177;1970-08-12
