X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-18,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,2022-11-08,id
315015,6764215,-0.00748989849216517,-0.02217125382263,-0.0805729632945389,-0.061301775147929,0.486884197056942,0.119624141669678,0.527946343021399,0.534159517000318,0.5389369592089,0.259335388831792,0.228874444064317,-0.0366043613707165,-0.0400344382264313,-0.038860103626943,"1"
315025,6764215,-0.00952099057767254,-0.0221543162719633,-0.079803834150691,-0.0746268656716418,0.47599097647438,0.125263898662913,0.527437056165268,0.528637895074603,0.539135879774577,0.27448869752422,0.238925706313219,-0.0408950617283951,-0.0376712328767123,-0.0537155580295018,"2"
315035,6764215,-0.0118577075098814,-0.0177828225501324,-0.0827597599251143,-0.0760351317440402,0.497819314641745,0.153846153846154,0.524926686217009,0.532184089830777,0.534653465346535,0.256080114449213,0.228753541076487,-0.040650406504065,-0.0277659120034173,-0.083944037308461,"3"
315045,6764215,-0.00945787831513261,-0.0185535781900795,-0.0845525782234643,-0.0596590909090909,0.476982097186701,0.175235336712527,0.512875184516976,0.525134366108125,0.523219814241486,0.25984796129924,0.235583684950774,-0.0506625097427903,-0.0444064901793339,-0.0644139387539599,"4"
315055,6764215,-0.0152764898238079,-0.0148798168637924,-0.0821347253845727,-0.0681553849732496,0.453591341423418,0.208638642499036,0.509946627850558,0.512005191434134,0.509148264984227,0.236505681818182,0.216312056737589,-0.0364540182270091,-0.0264840182648402,-0.0696786509704104,"5"
315065,6764215,-0.0118389897395422,-0.0179732313575526,-0.0836901518100428,-0.0642287857477731,0.459496255956433,0.201706276660573,0.524247903994739,0.499830795262267,0.515253100905129,0.234651600753296,0.207772795216741,-0.0416978776529338,0.00216684723726977,-0.0536891679748823,"6"
315075,6764215,-0.0126582278481013,-0.0195477194327328,-0.08539363297961,-0.0675422138836773,0.476004748177039,0.234982332155477,0.536581337737407,0.516844421872355,0.516708648194794,0.24952812382031,0.207401696222051,-0.0465293668954996,-0.044959508517174,-0.0656982502476065,"7"
315085,6764215,-0.00596896140071628,-0.0179869881362419,-0.0868428372739917,-0.0675360968793666,0.453002610966057,0.260028315243039,0.51131221719457,0.504911591355599,0.509916826615483,0.247017543859649,0.204845030281439,-0.0410958904109589,-0.0314406381980291,-0.0631921824104235,"8"
315095,6764215,-0.0165745856353591,-0.0176245210727969,-0.0847514554411106,-0.0651872399445215,0.451798324848087,0.26079850572029,0.505053798500163,0.52500786410821,0.525747764415665,0.253462603878116,0.227146814404432,-0.040513437625351,-0.0487380330722367,-0.0589711417816813,"9"
315105,6764215,-0.0180072028811525,-0.0182382615444315,-0.0827903841833296,-0.0658654957245205,0.449918433931485,0.232547799021787,0.530501437240498,0.495618305744888,0.506970849176172,0.261527631115804,0.244301994301994,-0.0353136684669713,-0.0354924578527063,-0.0723017813482361,"10"
315115,6764215,-0.0137665755643284,-0.0168034388432982,-0.080470111904628,-0.0654161781946073,0.454545454545455,0.220536271045521,0.494245314041434,0.506212169480726,0.512363067292645,0.253551136363636,0.237384506041222,-0.0431071276141699,-0.0488029465930018,-0.0695102685624013,"11"
315125,6764215,-0.00929547417077259,-0.013687915526007,-0.0835419986341908,-0.0612819910777178,0.467203867848509,0.19853539462978,0.50332005312085,0.517697026899481,0.520969245107176,0.263157894736842,0.23632538569425,-0.040983606557377,-0.0530575539568345,-0.0926787981379602,"12"
315135,6764215,-0.0102329408134931,-0.013687915526007,-0.0882134066059878,-0.0600375234521576,0.470001634788295,0.194156256616557,0.526178010471204,0.51037073330067,0.526515151515151,0.267094017094017,0.254139668826494,-0.0456602221308104,-0.0515926424405563,-0.0949568378009995,"13"
315145,6764215,-0.0123866286602747,-0.0154455445544554,-0.0833668024556773,-0.0594291062236781,0.470313542361574,0.195300376856573,0.542756297128189,0.511435200530328,0.528061224489796,0.263389581804842,0.23813029076187,-0.049694856146469,-0.0553745928338762,-0.129733691668703,"14"
315155,6764215,-0.0115765976223849,-0.0115216527612237,-0.0826374892024187,-0.0593180756655768,0.479270315091211,0.193184332816995,0.570567713288931,0.533632286995516,0.551772606590661,0.258589511754069,0.222100256128796,-0.0433196534427725,-0.0533199195171026,-0.120941176470588,"15"
315165,6764215,-0.012426219322771,-0.0127388535031847,-0.0860190122884303,-0.0543503615581992,0.507153190805337,0.186541737649063,0.594615266942022,0.575885455915599,0.581880494710177,0.249736564805058,0.210923463887891,-0.0398148148148148,-0.0530612244897959,-0.0901960784313725,"16"
315175,6764215,-0.0132819417678004,-0.0158856235107228,-0.0849139188794864,-0.0501640881387717,0.524777636594663,0.185216120275632,0.609481481481482,0.598590515342828,0.60302018295339,0.245309242529534,0.211888111888112,-0.039008719596145,-0.0471794871794872,-0.0644753476611884,"17"
315185,6764215,-0.0135288650211711,-0.0150197628458498,-0.0828003256192581,-0.0547076778586523,0.523809523809524,0.189836810576327,0.597391046546101,0.60727913120047,0.613522417991692,0.258746103221337,0.219699615787635,-0.0440771349862259,-0.0591464936361368,-0.0443433769187038,"18"
