"";"id";"geometry";"ndvi.max";"ndvi.max.doy";"ndvi.max.date"
"86";86;c(639210, 7691580);0,232711428780021;250,233800351358;2023-09-07
"87";87;c(639240, 7691580);0,250502235754539;247,416712127109;2023-09-04
"88";88;c(639270, 7691580);0,239670423805364;239,316814828944;2023-08-27
"89";89;c(639300, 7691580);0,277651741191221;232,391697562478;2023-08-20
"90";90;c(639330, 7691580);0,324472002466791;231,468164539299;2023-08-19
"91";91;c(639360, 7691580);0,285835520735418;232,469615151043;2023-08-20
"92";92;c(639390, 7691580);0,252001407287025;230,28747514496;2023-08-18
"93";93;c(639420, 7691580);0,23970292638478;230,062644186248;2023-08-18
"94";94;c(639450, 7691580);0,27746792284961;237,426708169296;2023-08-25
"95";95;c(639480, 7691580);0,355861185424146;246,771028564446;2023-09-03
"96";96;c(639510, 7691580);0,328119600024365;244,402654834324;2023-09-01
"97";97;c(639180, 7691550);0,20615364218429;242,676785936979;2023-08-30
"98";98;c(639210, 7691550);0,225556008301282;250,796121343923;2023-09-07
"99";99;c(639240, 7691550);0,240891798670418;248,029173557079;2023-09-05
"100";100;c(639270, 7691550);0,25905914949908;226,409614818898;2023-08-14
"101";101;c(639300, 7691550);0,271762046806543;226,843816884135;2023-08-14
"102";102;c(639330, 7691550);0,274482809825713;232,255327097359;2023-08-20
"103";103;c(639360, 7691550);0,231243785201514;232,682774566871;2023-08-20
"104";104;c(639390, 7691550);0,223960421553784;232,560669717532;2023-08-20
"105";105;c(639420, 7691550);0,267343618899758;224,606314289551;2023-08-12
"106";106;c(639450, 7691550);0,270696067142126;224,168962650416;2023-08-12
"107";107;c(639480, 7691550);0,335034584179084;240,685504032437;2023-08-28
"108";108;c(639510, 7691550);0,44227344040155;281,810719297358;2023-10-08
"109";109;c(639180, 7691520);0,189782412217028;253,365295349315;2023-09-10
"110";110;c(639210, 7691520);0,216639803164071;252,224294543517;2023-09-09
"111";111;c(639240, 7691520);0,252619332892209;237,643420563032;2023-08-25
"112";112;c(639270, 7691520);0,231521179674019;230,571505038555;2023-08-18
"113";113;c(639300, 7691520);0,205775029226061;230,384787151055;2023-08-18
"114";114;c(639330, 7691520);0,212365999799658;233,124907617126;2023-08-21
"115";115;c(639360, 7691520);0,211785501174745;234,553017603364;2023-08-22
"116";116;c(639390, 7691520);0,252943325685919;225,88652770859;2023-08-13
"117";117;c(639420, 7691520);0,342490937116963;217,196507240238;2023-08-05
"118";118;c(639450, 7691520);0,329437304128078;219,689535549198;2023-08-07
"119";119;c(639480, 7691520);0,336319727652153;236,738151881171;2023-08-24
"120";120;c(639510, 7691520);0,475981014118588;285,774204978356;2023-10-12
"121";121;c(639180, 7691490);0,187355513786315;246,789439934415;2023-09-03
"122";122;c(639210, 7691490);0,213354421706754;253,537816093311;2023-09-10
"123";123;c(639240, 7691490);0,220568250499127;242,402274214335;2023-08-30
"124";124;c(639270, 7691490);0,17718245424112;236,542296724456;2023-08-24
"125";125;c(639300, 7691490);0,187273807903694;226,820713880457;2023-08-14
"126";126;c(639330, 7691490);0,250181967501703;221,944420144879;2023-08-09
"127";127;c(639360, 7691490);0,274376091856539;224,623645076193;2023-08-12
"128";128;c(639390, 7691490);0,284486906548409;222,676295181798;2023-08-10
"129";129;c(639420, 7691490);0,316217225314176;221,144589200827;2023-08-09
"130";130;c(639450, 7691490);0,283869619808684;226,326940412942;2023-08-14
"131";131;c(639480, 7691490);0,293214853492827;232,937362346907;2023-08-20
"132";132;c(639510, 7691490);0,339265752820211;242,895548189441;2023-08-30
"133";133;c(639180, 7691460);0,163586304468481;243,846534099863;2023-08-31
"134";134;c(639210, 7691460);0,179223077813731;249,417090451348;2023-09-06
"135";135;c(639240, 7691460);0,180082917553591;253,219129261652;2023-09-10
"136";136;c(639270, 7691460);0,18194490159658;227,333945246373;2023-08-15
"137";137;c(639300, 7691460);0,2297727009136;221,205566129007;2023-08-09
"138";138;c(639330, 7691460);0,222155150611798;223,795233234476;2023-08-11
"139";139;c(639360, 7691460);0,194213205384585;235,400454391296;2023-08-23
"140";140;c(639390, 7691460);0,176659799646586;229,502666116692;2023-08-17
"141";141;c(639420, 7691460);0,191408153048542;229,545272030864;2023-08-17
"142";142;c(639450, 7691460);0,223643004035694;229,701918236457;2023-08-17
"143";143;c(639480, 7691460);0,301729395534494;225,445064426709;2023-08-13
"144";144;c(639510, 7691460);0,311857564134698;227,565073986116;2023-08-15
"145";145;c(639180, 7691430);0,144164103443472;256,299994583944;2023-09-13
"146";146;c(639210, 7691430);0,172219743768437;272,112249069876;2023-09-29
"147";147;c(639240, 7691430);0,155343017775522;261,036896360041;2023-09-18
"148";148;c(639270, 7691430);0,124387082452813;242,931885769543;2023-08-30
"149";149;c(639300, 7691430);0,123832744689935;239,154779234446;2023-08-27
"150";150;c(639330, 7691430);0,124794522689626;233,662348669095;2023-08-21
"151";151;c(639360, 7691430);0,169847394863609;231,067964452948;2023-08-19
"152";152;c(639390, 7691430);0,140596278091834;230,055509821046;2023-08-18
"153";153;c(639420, 7691430);0,110745630285237;234,486072116535;2023-08-22
"154";154;c(639450, 7691430);0,136611525664193;230,406942591198;2023-08-18
"155";155;c(639480, 7691430);0,235033594475681;229,007055144251;2023-08-17
"156";156;c(639510, 7691430);0,300892961771751;224,978614337491;2023-08-12
"157";157;c(639180, 7691400);0,174206840923944;256,286235709667;2023-09-13
"158";158;c(639210, 7691400);0,18230177519672;275,560252273004;2023-10-02
"159";159;c(639240, 7691400);0,161912702960763;292,436462587091;2023-10-19
"160";160;c(639270, 7691400);0,0980282827131305;239,137737877543;2023-08-27
"161";161;c(639300, 7691400);0,11284288895331;246,355088506578;2023-09-03
"162";162;c(639330, 7691400);0,163494107207953;225,102610840229;2023-08-13
"163";163;c(639360, 7691400);0,191162177794467;222,068979519197;2023-08-10
"164";164;c(639390, 7691400);0,158922585073014;229,331669891402;2023-08-17
"165";165;c(639420, 7691400);0,107073290957487;236,628555690349;2023-08-24
"166";166;c(639450, 7691400);0,0997647781859996;225,957158950128;2023-08-13
"167";167;c(639480, 7691400);0,177365294104675;227,042488812967;2023-08-15
"168";168;c(639510, 7691400);0,270307062259235;226,23740164407;2023-08-14
