"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"59","kluane_low_151",60.9664226,-138.4129636,2000,2020,21,"2000to2020","ndvi.max",0.00153,0.5849,0.211,0.2058,0.032,5.5,"no_trend"
"60","kluane_low_152",60.9664366,-138.4124105,2000,2020,21,"2000to2020","ndvi.max",0.0013,0.7025,0.2,0.23,0.027,3.8,"no_trend"
"61","kluane_low_153",60.9664506,-138.4118574,2000,2020,21,"2000to2020","ndvi.max",0.00264,0.6794,0.2,0.23,0.055,8.1,"no_trend"
"62","kluane_low_154",60.9664646,-138.4113043,2001,2020,20,"2000to2020","ndvi.max",0.00285,0.6036,0.322,0.0589,0.06,9.9,"greening"
"63","kluane_low_155",60.9664786,-138.4107512,2001,2020,20,"2000to2020","ndvi.max",0.00329,0.5762,0.263,0.1237,0.069,12,"no_trend"
"64","kluane_low_16",60.969027,-138.416571,2000,2020,21,"2000to2020","ndvi.max",0.00212,0.3596,0.168,0.3145,0.045,12.5,"no_trend"
"65","kluane_low_17",60.9690411,-138.4160178,2000,2020,21,"2000to2020","ndvi.max",-0.00061,0.4395,-0.074,0.6732,-0.013,-3,"no_trend"
"66","kluane_low_18",60.9690551,-138.4154647,2000,2020,21,"2000to2020","ndvi.max",1e-05,0.5735,0.011,0.9741,0,0,"no_trend"
"67","kluane_low_19",60.9690691,-138.4149115,2000,2020,21,"2000to2020","ndvi.max",-0.00025,0.6374,-0.053,0.7703,-0.005,-0.8,"no_trend"
"68","kluane_low_2",60.9692819,-138.417153,2000,2020,21,"2000to2020","ndvi.max",0.00115,0.6868,0.137,0.4173,0.024,3.5,"no_trend"
"69","kluane_low_20",60.9690831,-138.4143584,2000,2020,21,"2000to2020","ndvi.max",-2e-05,0.4927,0,1,0,0,"no_trend"
"70","kluane_low_21",60.9690972,-138.4138052,2000,2020,21,"2000to2020","ndvi.max",-0.00045,0.6217,-0.032,0.8711,-0.009,-1.4,"no_trend"
