X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id,2022-11-26,2022-11-28,2022-12-13
314835,6763635,-0.0167335661783871,-0.0118670886075949,-0.079026651216686,-0.0693628027274865,0.4446735395189,0.530888345558272,0.526280771789754,0.534536403235843,0.283497884344147,0.241132210677177,-0.0487179487179487,-0.0656295576081672,"1",0,0,0
314845,6763635,-0.00792540792540793,-0.0150554675118859,-0.079203334877258,-0.0654859007224423,0.424978466838932,0.495787427090084,0.540615334527104,0.549788774894387,0.304644808743169,0.263232180663373,-0.0469314079422383,-0.0502035278154681,"2",0,0,0
314855,6763635,-0.0122344509854108,-0.0125984251968504,-0.0811184779475353,-0.0639386189258312,0.417049515058703,0.484630477436233,0.521598968407479,0.53726893261777,0.296761401189689,0.258638040925864,-0.0551470588235294,-0.0536074163643692,"3",0,0,0
314865,6763635,-0.0182662226258956,-0.0164319248826291,-0.0791208791208791,-0.0713787491281097,0.433510638297872,0.488921713441654,0.507190176118921,0.51030303030303,0.286228328426562,0.267787839586028,-0.0435418953530918,-0.0533493782591256,"4",0,0,0
314875,6763635,-0.0185997278088613,-0.0159968786578229,-0.0756994907592836,-0.0662944870900209,0.446891191709845,0.494208494208494,0.492362690932727,0.503165045545777,0.290818030050083,0.256410256410256,-0.035240621447518,-0.0540427314620863,"5",0,0,0
314885,6763635,-0.0150793650793651,-0.0142581888246628,-0.0758433325786733,-0.0637807966843196,0.443915257020857,0.504373177842566,0.48491879350348,0.507446308198777,0.295392953929539,0.259945130315501,-0.035377358490566,-0.0577815267819485,"6",0,0,0
314895,6763635,-0.01386627189736,-0.0137299771167048,-0.0799097065462754,-0.065928999538958,0.433759246805649,0.502268308489955,0.472677595628415,0.500402123210552,0.296613068764968,0.264570823030731,-0.04,-0.0429292929292929,"7",0,0,0
314905,6763635,-0.0124314800313234,-0.0159817351598174,-0.0811299435028249,-0.0681922196796339,0.443908924713312,0.479285954866959,0.482432432432432,0.497581425346662,0.296771954182576,0.265132743362832,-0.0376114773167895,-0.0492217080353387,"8",0,0,0
314915,6763635,-0.0110299524486494,-0.0155597722960152,-0.0795332844822727,-0.0707439525330899,0.431072961373391,0.484843353090601,0.484508001361934,0.497905252980986,0.284203343568748,0.261698440207972,-0.0383572258814413,-0.0546060858691121,"9",0,0,0
314925,6763635,-0.0118328668925222,-0.0166540499621499,-0.0794078061911171,-0.0719853278312701,0.424356775300172,0.503620803159974,0.474991376336668,0.501132319637658,0.278463648834019,0.249913822819717,-0.029535864978903,-0.0434782608695652,"10",0,0,0
314935,6763635,-0.0164414304532371,-0.0187828700225394,-0.0813694975544687,-0.0705128205128205,0.429673093042749,0.504140282513395,0.476206778500514,0.495798319327731,0.281641168289291,0.251844046364594,-0.0428134556574924,-0.0404672507300793,"11",0,0,0
314945,6763635,-0.0133725202057311,-0.0161836657884833,-0.0776742121615624,-0.0694158075601375,0.439520159946684,0.484823353790015,0.47361299052774,0.487984620314002,0.282782608695652,0.254046446164673,-0.0363704536932883,-0.0418032786885246,"12",0,0,0
314955,6763635,-0.0138189714736946,-0.0159211523881729,-0.0835194283162126,-0.0704095720202485,0.432214765100671,0.466824244470707,0.462778730703259,0.468263080203379,0.282087447108604,0.26479971641262,-0.0440889582520484,-0.056917324470295,"13",0,0,0
314965,6763635,-0.0111287758346582,-0.00874857360213009,-0.0796064400715563,-0.0718232044198895,0.413793103448276,0.466802860061287,0.461295971978984,0.471387816747776,0.274544805426633,0.246153846153846,-0.0420711974110032,-0.051348999129678,"14",0,0,0
314975,6763635,-0.0141583110797602,-0.0158240061752219,-0.0818022499858669,-0.0735090152565881,0.412487205731832,0.474111675126904,0.467725232999655,0.483636363636364,0.26517571884984,0.243437612369651,-0.037344398340249,-0.0526315789473684,"15",0,0,0
314985,6763635,-0.0147201140936179,-0.0168034388432982,-0.0816291459013576,-0.0739191073919107,0.419464803136185,0.467296021577883,0.473107228502912,0.494634146341463,0.270935960591133,0.242477876106195,-0.0407124681933842,-0.0485701316386745,"16",0,0,0
314995,6763635,-0.00855927425554815,-0.0145041160329283,-0.0804810360777058,-0.0702247191011236,0.421447253705318,0.471956224350205,0.472154963680387,0.489581596932822,0.2689556509299,0.229938826916157,-0.0408250966910185,-0.0625,"17",0,0,0
315005,6763635,-0.0168179942220388,-0.0141955835962145,-0.083864980860689,-0.0695387497073285,0.419922562478001,0.484268125854993,0.468265162200282,0.484255319148936,0.263776634827333,0.228942486085343,-0.0356824264049955,-0.051566265060241,"18",0,0,0
315015,6763635,-0.0138417341342387,-0.0111111111111111,-0.0799767846778874,-0.0711768851303735,0.426258359732489,0.50394096931075,0.470744210712392,0.485443466486121,0.258426966292135,0.234184239733629,-0.048692515779982,-0.0499634413843529,"19",0,0,0
315025,6763635,-0.0177664974619289,-0.012779552715655,-0.0791569086651054,-0.071715976331361,0.412506568575933,0.486963835155593,0.460540161346896,0.466075690419366,0.260628465804067,0.231927710843373,-0.0402826855123675,-0.0490272373540856,"20",0,0,0
315035,6763635,-0.0170521155280827,-0.013290374546919,-0.0813352139163141,-0.0724569270710408,0.411925976696367,0.487714574217435,0.48956228956229,0.500987491770902,0.260663507109005,0.219694143976128,-0.0349115255858441,-0.0546709129511677,"21",0,0,0
315045,6763635,-0.0076988879384089,-0.0149615851192883,-0.0784266984505363,-0.0712927756653992,0.411805315843977,0.49449081803005,0.524119947848761,0.531014585670781,0.254844606946984,0.230880753896339,-0.0401119402985075,-0.0526588845654994,"22",0,0,0
315055,6763635,-0.0129842142125963,-0.0134310134310134,-0.0791341165245393,-0.0680628272251309,0.417967395074575,0.504950495049505,0.52481104173513,0.534562951082598,0.246879075833799,0.228392791467451,-0.0327829624312036,-0.0454293628808864,"23",0,0,0
315065,6763635,-0.01561144839549,-0.0130081300813008,-0.0806413017468294,-0.0683053651619003,0.420689655172414,0.513801130695045,0.55247013238618,0.549242424242424,0.259789156626506,0.226998491704374,-0.03199593702387,-0.0438521066208083,"24",0,0,0
315075,6763635,-0.0134674671426253,-0.0121852152721365,-0.0820377900023918,-0.0662282761860028,0.348633879781421,0.454545454545455,0.511171293161815,0.54481881754609,0.26577509888868,0.228560341482344,-0.0319336183052552,-0.0458394160583942,"25",0,0,0
315085,6763635,-0.00768527973343365,-0.0130081300813008,-0.0798015422320521,-0.0618556701030928,0.286510590858417,0.446838824577026,0.486286010005175,0.515181355654029,0.271139193458465,0.227924528301887,-0.0387096774193548,-0.0500133725595079,"26",0,0,0
315095,6763635,-0.0127564579568407,-0.0157575757575758,-0.079315892974197,-0.0623836126629423,0.284057971014493,0.448785638859556,0.482182063840567,0.513374154044473,0.262618873445501,0.221823402727925,-0.046028880866426,-0.0642387455741022,"27",0,0,0
315105,6763635,-0.0192147034252297,-0.0141414141414141,-0.0805913209346686,-0.0656264341441028,0.29352153456388,0.439119630812922,0.491641078130331,0.504250708451409,0.258867924528302,0.213102409638554,-0.0482041587901701,-0.0582120582120582,"28",0,0,0
315115,6763635,-0.0119968839262529,-0.0157830837717523,-0.0810810810810811,-0.0658710121643333,0.260610716343384,0.43796394485684,0.475540190146932,0.494402673350042,0.27456864216054,0.234026465028355,-0.0486238532110092,-0.0546505517603783,"29",0,0,0
315125,6763635,-0.015553235908142,-0.0157068062827225,-0.0815450643776824,-0.0621315192743764,0.254004576659039,0.45302130632204,0.470391846775611,0.507846410684474,0.290795746241291,0.243929772132985,-0.0371621621621622,-0.0441533236293062,"30",0,0,0
