X,Y,2023-04-06,2023-05-01,2023-05-16,2023-05-22,2023-06-08,2023-06-26,2023-07-08,2023-07-26,2023-07-29,2023-08-07,2023-08-08,2023-09-14,2023-09-22,2023-09-23,2023-10-03,id,2023-10-18,2023-11-26,2023-11-28,2023-12-11
639195,7691775,-0.0437428680106504,-0.0653872939719879,-0.064828395423878,-0.052199258081611,-0.0294135266279279,-0.122287685012214,0.745562130177515,0.676365085691511,0.685962373371925,0.674844379348224,0.696571845368344,0.685734974656046,0.607730263157895,0.53715308863026,0.521408182683159,"1",0,0,0,0
639225,7691775,-0.0275140004869734,-0.0540733116934526,-0.052094440213252,-0.0381861575178998,-0.0211692307692308,-0.12813995215311,0.367979341510652,0.58586316266425,0.603844546594233,0.617145235122763,0.624786324786325,0.612875900042355,0.661147902869757,0.600232423009878,0.611111111111111,"2",0,0,0,0
639255,7691775,-0.0232368528332655,-0.0566186936580737,-0.0494480568577045,-0.0383217933776651,-0.0215845135753603,-0.120617420066152,0.288570575947478,0.534705600765917,0.570210856886496,0.572113289760349,0.582102519548219,0.565738758029979,0.657766990291262,0.570552147239264,0.582978723404255,"3",0,0,0,0
639285,7691775,-0.0367067914994799,-0.0705094439009707,-0.0511910795742524,-0.0421541075746683,-0.0239604079908263,-0.121362560146643,0.0707803992740472,0.507496592457974,0.544844928751048,0.543704891740176,0.558316633266533,0.544805709754163,0.580763199163617,0.506962351727695,0.504055619930475,"4",0,0,0,0
639315,7691775,-0.0434950955085183,-0.0862588466120104,-0.0659095518150476,-0.0590428837787446,-0.0262485481997677,-0.140524492825334,-0.149954001839926,0.431588613406795,0.457469318662717,0.459291001168679,0.485533095521205,0.476584022038568,0.473916887709991,0.450479233226837,0.422928709055877,"5",0,0,0,0
639345,7691775,-0.0458137811805384,-0.0855317967231324,-0.0762032085561497,-0.0606499939591639,-0.0352407932011332,-0.160144446901024,0.0212624584717608,0.464301955434288,0.490878938640133,0.488546751783702,0.509590071455434,0.50093388121031,0.479369842460615,0.491641663094728,0.430860033726813,"6",0,0,0,0
639375,7691775,-0.0312253683380828,-0.0947901591895803,-0.0692693506845602,-0.0630796634113384,-0.0281025179856115,-0.162521345311456,0.0265324794144557,0.467121285923039,0.479252165982672,0.48310291858679,0.519784863618901,0.511654566297287,0.485370741482966,0.522091974752029,0.467948717948718,"7",0,0,0,0
639405,7691775,-0.0429535814564789,-0.077052181873665,-0.0665819388547624,-0.0610006854009595,-0.0293955741495101,-0.119204152249135,-0.0369926014797041,0.458232737807822,0.47286148501954,0.457352373600926,0.534935304990758,0.526683842473316,0.497312939231087,0.554013875123885,0.478764478764479,"8",0,0,0,0
639435,7691775,-0.0374577090381827,-0.0665103556076592,-0.0559392265193371,-0.0429305283757338,-0.0271664562867021,-0.0797760029376665,0.487651331719128,0.628560280920796,0.659913169319826,0.635385132862429,0.689963564094071,0.676973684210526,0.55420054200542,0.683340223232741,0.576184880532707,"9",0,0,0,0
639465,7691775,-0.0357439733998338,-0.0655953250547845,-0.0593993027621346,-0.0420996377887299,-0.0251368562171825,-0.131738567436789,0.777908343125734,0.693907875185736,0.728175282437521,0.721733463668947,0.740428293316029,0.725692208628461,0.516148325358852,0.732558139534884,0.656498119515253,"10",0,0,0,0
639495,7691775,-0.0307493011522466,-0.0505544933078394,-0.0508855777340456,-0.0346018627027693,-0.0256056952577793,-0.112559160436244,0.820539419087137,0.683304647160069,0.710044219835755,0.709747742136406,0.713843295137813,0.702153846153846,0.246629659000793,0.512044471896232,0.557613931085587,"11",0,0,0,0
639195,7691745,-0.0356788899900892,-0.0673098665862667,-0.0487122884473877,-0.0509617291294865,-0.0280970625798212,-0.112179984484096,0.575495495495496,0.708498808578237,0.664174031271244,0.6994708994709,0.685109543260304,0.66997427416391,0.623152709359606,0.587786259541985,0.574468085106383,"12",0,0,0,0
639225,7691745,-0.0334467959153471,-0.0655035685963521,-0.0558223289315726,-0.0510033444816053,-0.0257374544599835,-0.11856,0.647403685092127,0.69197584124245,0.658176448874123,0.662759924385633,0.669161087042142,0.654070899883132,0.692451945616503,0.605325725154541,0.593908629441624,"13",0,0,0,0
639255,7691745,-0.0306805074971164,-0.0588235294117648,-0.0665054413542926,-0.0543557037251776,-0.0266191325014854,-0.127659574468085,0.774842044801838,0.693200663349917,0.698608964451314,0.670278637770898,0.689910401246591,0.673988439306358,0.749368367862557,0.629179331306991,0.626480086114101,"14",0,0,0,0
639285,7691745,-0.03847624875698,-0.0593937402448041,-0.0660786134323739,-0.0587817186722581,-0.0269246700988224,-0.143584342636475,0.748476454293629,0.672059466550066,0.671740024681201,0.648378053664397,0.660670482420278,0.645109135004042,0.730868002054443,0.610515021459228,0.588742102240092,"15",0,0,0,0
639315,7691745,-0.0336352894840488,-0.0484712900820283,-0.051271954004883,-0.0344827586206897,-0.0268199233716475,-0.110189982728843,0.49645390070922,0.635153129161119,0.625586353944563,0.607909129154396,0.632822213012847,0.616550594018845,0.564935064935065,0.633630289532294,0.593116164720344,"16",0,0,0,0
639345,7691745,-0.0387151834897975,-0.0678150217256363,-0.0606754859212179,-0.0513990871204604,-0.0244500275752191,-0.124963757610902,-0.0177424288773325,0.559983395599834,0.577881619937695,0.61767955801105,0.641389615240941,0.627683197631384,0.414965986394558,0.568320278503046,0.580882352941176,"17",0,0,0,0
639375,7691745,-0.0405280933374271,-0.0680596097710862,-0.0584299732381802,-0.0506870028269015,-0.0243223620522749,-0.127218514837427,-0.0522149490028924,0.624628450106157,0.662659945715394,0.66904422253923,0.70330459770115,0.68814524741901,0.413676786261883,0.606459838504037,0.628571428571429,"18",0,0,0,0
639405,7691745,-0.0419833771400157,-0.0632209737827715,-0.0584451901565996,-0.0375866682885294,-0.0285249520711091,-0.124432087882281,0.71293225959261,0.71643474990598,0.747722494744219,0.738002594033722,0.771106941838649,0.756446101273687,0.503913305237809,0.728026533996683,0.638754932047348,"19",0,0,0,0
639435,7691745,-0.0338960342979635,-0.0715446006073876,-0.0536683417085427,-0.0333017302678359,-0.0255594683630581,-0.120649805190517,0.765503875968992,0.697214076246334,0.734489659773182,0.749180816204945,0.757377049180328,0.744075829383886,0.557550496954152,0.812845597618035,0.649792531120332,"20",0,0,0,0
639465,7691745,-0.0360828218790045,-0.0699536451748841,-0.0544770605226036,-0.0359660652407695,-0.0252533928878199,-0.120635972176217,0.600495253817582,0.637950664136622,0.689093484419263,0.714638665843113,0.71911905521864,0.704876504116529,0.542200328407225,0.87569573283859,0.652060737527115,"21",0,0,0,0
