"";"id";"ndvi_mx";"ndv_mx_dy";"ndv_mx_dt";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"snow.persist";"geometry"
"466";467;0,392021643812768;230,440125899298;2023-08-18;0,368855721393035;0;0;0;40200;0,0922139303482587;list(c(639290, 639290, 639280, 639280, 639290, 7691690, 7691680, 7691680, 7691690, 7691690))
"467";468;0,34166039142292;229,568325610941;2023-08-17;0,881766169154229;0;0;0;40200;0,220441542288557;list(c(639300, 639300, 639290, 639290, 639300, 7691690, 7691680, 7691680, 7691690, 7691690))
"468";469;0,328232791944174;235,446878113609;2023-08-23;1;0,00027363184079602;0;7,46268656716418e-05;40200;0,250087064676617;list(c(639310, 639310, 639300, 639300, 639310, 7691690, 7691680, 7691680, 7691690, 7691690))
"469";470;0,357827053303481;237,112950733699;2023-08-25;0,650721393034826;0,00251243781094527;0,00027363184079602;0;40200;0,163376865671642;list(c(639320, 639320, 639310, 639310, 639320, 7691690, 7691680, 7691680, 7691690, 7691690))
"470";471;0,343797669876949;236,786076518005;2023-08-24;0,578134328358209;0,0100248756218905;0,00161691542288557;0,0133830845771144;40200;0,150789800995025;list(c(639330, 639330, 639320, 639320, 639330, 7691690, 7691680, 7691680, 7691690, 7691690))
"471";472;0,36529335907835;239,689726550896;2023-08-27;0,859154228855721;0,0584328358208955;0,0209452736318408;0,0680348258706468;40200;0,251641791044776;list(c(639340, 639340, 639330, 639330, 639340, 7691690, 7691680, 7691680, 7691690, 7691690))
"472";473;0,43966073395859;237,732106700525;2023-08-25;0,943084577114428;0,0421393034825871;0,022636815920398;0,0595771144278607;40200;0,266859452736318;list(c(639350, 639350, 639340, 639340, 639350, 7691690, 7691680, 7691680, 7691690, 7691690))
"473";474;0,437916517221311;229,501078583497;2023-08-17;0,247313432835821;0,00082089552238806;0;0;40200;0,0620335820895522;list(c(639360, 639360, 639350, 639350, 639360, 7691690, 7691680, 7691680, 7691690, 7691690))
"474";475;0,43198893830413;228,568005294455;2023-08-16;0,00360696517412935;0;0;0;40200;0,000901741293532338;list(c(639370, 639370, 639360, 639360, 639370, 7691690, 7691680, 7691680, 7691690, 7691690))
"475";476;0,416908693754522;227,58091575162;2023-08-15;0;0;0;0;40200;0;list(c(639380, 639380, 639370, 639370, 639380, 7691690, 7691680, 7691680, 7691690, 7691690))
"476";477;0,416132163190923;227,364978109414;2023-08-15;0,036865671641791;0;0;0;40200;0,00921641791044776;list(c(639390, 639390, 639380, 639380, 639390, 7691690, 7691680, 7691680, 7691690, 7691690))
"477";478;0,414408153090335;225,918624481648;2023-08-13;0,0417661691542289;0;0;0;40200;0,0104415422885572;list(c(639400, 639400, 639390, 639390, 639400, 7691690, 7691680, 7691680, 7691690, 7691690))
"478";479;0,417013415622932;225,348617249354;2023-08-13;0,221741293532338;0;0;0;40200;0,0554353233830846;list(c(639410, 639410, 639400, 639400, 639410, 7691690, 7691680, 7691680, 7691690, 7691690))
"479";480;0,389759158890229;224,874021103162;2023-08-12;0,393557213930348;0;0;0;40200;0,0983893034825871;list(c(639420, 639420, 639410, 639410, 639420, 7691690, 7691680, 7691680, 7691690, 7691690))
"480";481;0,37770256875956;224,045718352045;2023-08-12;0,498432835820896;0,000323383084577114;0;0;40200;0,124689054726368;list(c(639430, 639430, 639420, 639420, 639430, 7691690, 7691680, 7691680, 7691690, 7691690))
"481";482;0,399571565416409;222,868261123895;2023-08-10;0,804378109452736;0;0;0;40200;0,201094527363184;list(c(639440, 639440, 639430, 639430, 639440, 7691690, 7691680, 7691680, 7691690, 7691690))
"482";483;0,427239940923755;225,040569842979;2023-08-13;0,91863184079602;0;0;0;40200;0,229657960199005;list(c(639450, 639450, 639440, 639440, 639450, 7691690, 7691680, 7691680, 7691690, 7691690))
"483";484;0,456606826774077;236,582685945534;2023-08-24;1;0,000124378109452736;0,000348258706467662;0;40200;0,25011815920398;list(c(639460, 639460, 639450, 639450, 639460, 7691690, 7691680, 7691680, 7691690, 7691690))
"484";485;0,452434818653273;233,159166254187;2023-08-21;1;0;0;0;40200;0,25;list(c(639470, 639470, 639460, 639460, 639470, 7691690, 7691680, 7691680, 7691690, 7691690))
"485";486;0,450689367295126;230,20405494003;2023-08-18;1;0;0;0;40200;0,25;list(c(639480, 639480, 639470, 639470, 639480, 7691690, 7691680, 7691680, 7691690, 7691690))
"486";487;0,466904151369818;241,991790760392;2023-08-29;1;0;0;0;40200;0,25;list(c(639490, 639490, 639480, 639480, 639490, 7691690, 7691680, 7691680, 7691690, 7691690))
"487";488;0,511317564527417;266,29530519179;2023-09-23;NA;NA;NA;NA;NA;NA;list(c(639500, 639500, 639490, 639490, 639500, 7691690, 7691680, 7691680, 7691690, 7691690))
"488";489;0,465297363167338;248,113780149262;2023-09-05;NA;NA;NA;NA;NA;NA;list(c(639510, 639510, 639500, 639500, 639510, 7691690, 7691680, 7691680, 7691690, 7691690))
"489";490;0,397445109083492;223,627761842432;2023-08-11;NA;NA;NA;NA;NA;NA;list(c(639520, 639520, 639510, 639510, 639520, 7691690, 7691680, 7691680, 7691690, 7691690))
"490";491;0,436574376624776;228,725844912595;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691680, 7691670, 7691670, 7691680, 7691680))
"491";492;0,430728362072841;228,85682260511;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691680, 7691670, 7691670, 7691680, 7691680))
"492";493;0,438937208062271;229,78933493232;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691680, 7691670, 7691670, 7691680, 7691680))
"493";494;0,430553083053383;229,684813173542;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691680, 7691670, 7691670, 7691680, 7691680))
"494";495;0,443580855346227;233,476734263877;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691680, 7691670, 7691670, 7691680, 7691680))
"495";496;0,425008644670015;230,504704476705;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691680, 7691670, 7691670, 7691680, 7691680))
"496";497;0,449610640542232;229,654942451263;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691680, 7691670, 7691670, 7691680, 7691680))
"497";498;0,454345866462972;227,888847401355;2023-08-15;0,011025;0;0;0;40000;0,00275625;list(c(639250, 639250, 639240, 639240, 639250, 7691680, 7691670, 7691670, 7691680, 7691680))
"498";499;0,453223267533758;227,948455473172;2023-08-15;0,007475;0;0;0;40000;0,00186875;list(c(639260, 639260, 639250, 639250, 639260, 7691680, 7691670, 7691670, 7691680, 7691680))
