X,Y,id,doy,ndvi,ndvi.max,ndvi.max.doy,ndvi.pred,snow.auc,snow.av
315065,6764065,"492","132",0,0.475604712638224,"215",-0.0199959883202732,0,0
315065,6764065,"492","149",0,0.475604712638224,"215",0.0338114809252283,0,0
315065,6764065,"492","159",0,0.475604712638224,"215",0.096934045326114,0,0
315065,6764065,"492","189",0.423414130995358,0.475604712638224,"215",0.369249417302164,0,0
315065,6764065,"492","202",0.510013351134846,0.475604712638224,"215",0.449021885539987,0,0
315065,6764065,"492","207",0.454795462358199,0.475604712638224,"215",0.465556015880952,0,0
315065,6764065,"492","224",0.481182795698925,0.475604712638224,"215",0.464181403334793,0,0
315065,6764065,"492","259",0.304,0.475604712638224,"215",0.245002995221925,0,0
315065,6764065,"492","267",0.262282690854119,0.475604712638224,"215",0.172964547059457,0,0
315065,6764065,"492","272",0,0.475604712638224,"215",0.129339297502971,0,0
315065,6764065,"492","279",0,0.475604712638224,"215",0.0768418194045673,0,0
315075,6764065,"493","132",0,0.479510429148316,"214",-0.0203157446244733,0,0
315075,6764065,"493","149",0,0.479510429148316,"214",0.0341254065285589,0,0
315075,6764065,"493","159",0,0.479510429148316,"214",0.0980355892083767,0,0
315075,6764065,"493","189",0.418909592822636,0.479510429148316,"214",0.37426234256277,0,0
315075,6764065,"493","202",0.534988713318284,0.479510429148316,"214",0.455051004983735,0,0
315075,6764065,"493","207",0.455294319546937,0.479510429148316,"214",0.47110184449687,0,0
315075,6764065,"493","224",0.483168648467593,0.479510429148316,"214",0.46509974296294,0,0
315075,6764065,"493","259",0.29015733626052,0.479510429148316,"214",0.234967779615326,0,0
315075,6764065,"493","267",0.234407781804311,0.479510429148316,"214",0.162980993616161,0,0
315075,6764065,"493","272",0,0.479510429148316,"214",0.120095726667005,0,0
315075,6764065,"493","279",0,0.479510429148316,"214",0.0689827577293703,0,0
315085,6764065,"494","132",0,0.495606778009478,"215",-0.0210479917902527,0,0
315085,6764065,"494","149",0,0.495606778009478,"215",0.0341699834133936,0,0
315085,6764065,"494","159",0,0.495606778009478,"215",0.099224310320099,0,0
315085,6764065,"494","189",0.419780983834521,0.495606778009478,"215",0.38309017443479,0,0
315085,6764065,"494","202",0.554342741306721,0.495606778009478,"215",0.468485413622135,0,0
315085,6764065,"494","207",0.46949965729952,0.495606778009478,"215",0.485910930027494,0,0
