X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4621576,69.2978949,blaesedalen_88,2000,2020,"14",2000to2020,ndvi.max,-0.0011,0.7264,-0.103,0.6693,-0.023,-3.2,no_trend
-53.4656455,69.2998522,blaesedalen_9,2000,2020,"15",2000to2020,ndvi.max,-0.00192,0.6676,-0.099,0.6614,-0.04,-6,no_trend
-53.4682732,69.2977505,blaesedalen_91,2000,2020,"16",2000to2020,ndvi.max,-0.0032,0.6376,-0.257,0.1982,-0.067,-10.5,no_trend
-53.4675142,69.297735,blaesedalen_92,2000,2020,"16",2000to2020,ndvi.max,-0.00245,0.7123,-0.314,0.1133,-0.051,-7.2,no_trend
-53.4667553,69.2977195,blaesedalen_93,2000,2020,"16",2000to2020,ndvi.max,-0.00127,0.6736,-0.086,0.6922,-0.027,-4,no_trend
-53.4659963,69.297704,blaesedalen_94,2000,2020,"16",2000to2020,ndvi.max,-0.0011,0.7351,-0.105,0.6207,-0.023,-3.1,no_trend
-53.4652374,69.2976885,blaesedalen_95,2000,2020,"16",2000to2020,ndvi.max,-0.00039,0.7272,-0.067,0.7665,-0.008,-1.1,no_trend
-53.4644784,69.297673,blaesedalen_96,2000,2020,"16",2000to2020,ndvi.max,-0.00251,0.7202,-0.295,0.1376,-0.053,-7.4,no_trend
-53.4637194,69.2976574,blaesedalen_97,2000,2020,"16",2000to2020,ndvi.max,-0.00193,0.702,-0.105,0.6207,-0.041,-5.8,no_trend
-53.4629605,69.2976419,blaesedalen_98,2000,2020,"15",2000to2020,ndvi.max,-0.00036,0.7802,-0.033,0.9128,-0.008,-1,no_trend
