"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"87";"blaesedalen_25";69,2993462;-53,4672512;2000;2020;20;"2000to2020";"ndvi.max";-0,0011;0,6482;-0,099;0,5756;-0,023;-3,5;"no_trend"
"88";"blaesedalen_26";69,2993307;-53,4664922;2000;2020;18;"2000to2020";"ndvi.max";-0,0009;0,6956;-0,103;0,5923;-0,019;-2,7;"no_trend"
"89";"blaesedalen_27";69,2993151;-53,4657332;2000;2020;18;"2000to2020";"ndvi.max";0,00038;0,6535;0,044;0,8368;0,008;1,2;"no_trend"
"90";"blaesedalen_28";69,2992996;-53,4649742;2000;2020;20;"2000to2020";"ndvi.max";0,0037;0,7745;0,322;0,0589;0,078;10,1;"greening"
"91";"blaesedalen_29";69,2992841;-53,4642152;2000;2020;18;"2000to2020";"ndvi.max";0,00367;0,8692;0,294;0,1082;0,077;8,9;"no_trend"
"92";"blaesedalen_3";69,3001517;-53,4671197;2000;2020;20;"2000to2020";"ndvi.max";0,00042;0,836;0,064;0,7264;0,009;1,1;"no_trend"
"93";"blaesedalen_30";69,2992686;-53,4634562;2000;2020;20;"2000to2020";"ndvi.max";-0,0013;0,8269;-0,111;0,5289;-0,027;-3,3;"no_trend"
"94";"blaesedalen_31";69,2992531;-53,4626972;2000;2020;20;"2000to2020";"ndvi.max";-0,0034;0,7425;-0,345;0,0424;-0,071;-9,6;"browning"
"95";"blaesedalen_32";69,2992375;-53,4619382;2000;2020;20;"2000to2020";"ndvi.max";-0,00329;0,8763;-0,251;0,1417;-0,069;-7,9;"no_trend"
"96";"blaesedalen_33";69,299222;-53,4611792;2000;2020;20;"2000to2020";"ndvi.max";-0,00142;1,0131;-0,135;0,4415;-0,03;-3;"no_trend"
"97";"blaesedalen_34";69,2991241;-53,4695721;2000;2020;18;"2000to2020";"ndvi.max";0,00153;0,7798;0,088;0,6505;0,032;4,1;"no_trend"
"98";"blaesedalen_35";69,2991086;-53,4688131;2000;2020;20;"2000to2020";"ndvi.max";0,00248;0,61;0,205;0,2342;0,052;8,5;"no_trend"
"99";"blaesedalen_36";69,2990931;-53,4680541;2000;2020;20;"2000to2020";"ndvi.max";0,00118;0,7129;0,088;0,6243;0,025;3,5;"no_trend"
